Material Name,OFHC Cu (RRR-100)
Elastic modulus (N/mm2),115000
Poisson's ratio,0.31
Microhardness (N/mm2),1218.841488
Temp (K),k (W/m-K)
300,396.323959
293,396.9085471
280,398.0351596
273,398.6661433
260,399.8897888
250,400.8838429
240,401.9324857
230,403.0463867
220,404.2399139
210,405.5327079
200,406.9520296
190,408.5363123
180,410.3406298
170,412.4452713
160,414.9694705
150,418.093899
140,422.0984859
130,427.4278894
120,434.8086444
110,445.4667663
100,461.5493381
90,486.9798983
80,529.2769842
70,603.5581619
60,741.2099419
50,1004.846277
40,1485.109355
30,2142.896819
20,2422.510265
10,1539.915576
4,642.29
