Material Name,CuCrZr-X hardened
Elastic modulus (N/mm2),130000
Poisson's ratio,0.33
Microhardness (N/mm2),1667.7
Temp (K),k (W/m-K)
300,316.2680223
293,315.3797233
280,313.869354
273,313.253836
260,311.9993433
250,309.0157438
240,305.5993709
230,303.2672431
220,301.6338718
210,298.6862891
200,294.6202715
190,291.3639744
180,288.5352591
170,286.6418007
160,283.6205411
150,278.1372683
140,273.3193707
130,269.8902069
120,265.9107127
110,260.4462412
100,256.0663593
90,251.4611158
80,245.5278113
70,238.64
60,211.6872312
50,180.8318795
40,147.6007108
30,104.5391497
20,55.06659313
10,25.60504694
4,10
