Frequency [Hz],PSD A^2/Hz
0.1,1.75E-12
0.7670447,1.75E-12
1.4340894,1.75E-12
2.1011341,1.75E-12
2.7681788,1.75E-12
3.4352235,1.75E-12
4.1022682,1.75E-12
4.7693129,1.75E-12
5.4363576,1.75E-12
6.1034023,1.75E-12
6.770447,2.88E-12
7.4374917,2.56E-12
8.1045364,1.62E-12
8.7715811,1.98E-12
9.4386258,1.84E-12
10.10567,1.88E-12
10.772715,2.08E-12
11.43976,1.39E-12
12.106805,9.88E-13
12.773849,1.58E-12
13.440894,3.70E-12
14.107939,8.09E-12
14.774983,1.32E-12
15.442028,1.38E-12
16.109073,1.18E-12
16.776117,1.75E-12
17.443162,1.28E-12
18.110207,5.16E-12
18.777252,1.73E-12
19.444296,1.11E-12
20.111341,1.45E-12
20.778386,1.14E-12
21.44543,1.82E-12
22.112475,1.02E-12
22.77952,1.50E-12
23.446564,1.67E-12
24.113609,7.18E-13
24.780654,1.18E-12
25.447698,1.16E-12
26.114743,2.20E-12
26.781788,2.06E-12
27.448833,7.05E-12
28.115877,5.88E-12
28.782922,1.13E-12
29.449967,1.19E-12
30.117011,1.22E-12
30.784056,1.27E-12
31.451101,8.65E-13
32.118145,7.27E-13
32.78519,1.19E-12
33.452235,1.29E-12
34.11928,1.32E-12
34.786324,8.50E-13
35.453369,4.65E-13
36.120414,9.53E-13
36.787458,2.27E-12
37.454503,1.69E-12
38.121548,1.35E-12
38.788592,7.00E-13
39.455637,5.96E-13
40.122682,9.07E-13
40.789726,1.48E-12
41.456771,5.67E-12
42.123816,2.49E-12
42.790861,1.09E-12
43.457905,2.13E-12
44.12495,1.08E-12
44.791995,1.21E-12
45.459039,1.70E-12
46.126084,1.76E-12
46.793129,1.48E-12
47.460173,1.20E-12
48.127218,9.50E-13
48.794263,1.64E-12
49.461308,1.01E-12
50.128352,1.52E-12
50.795397,6.78E-13
51.462442,1.51E-12
52.129486,1.73E-12
52.796531,1.92E-12
53.463576,2.20E-12
54.13062,1.72E-12
54.797665,4.46E-12
55.46471,8.10E-12
56.131755,1.58E-12
56.798799,1.09E-12
57.465844,2.49E-12
58.132889,1.44E-12
58.799933,1.75E-12
59.466978,1.02E-12
60.134023,2.41E-12
60.801067,1.39E-12
61.468112,1.15E-12
62.135157,1.36E-12
62.802201,5.44E-13
63.469246,1.11E-12
64.136291,2.40E-12
64.803336,8.56E-13
65.47038,7.18E-13
66.137425,7.57E-13
66.80447,1.45E-12
67.471514,6.29E-13
